epass_map_zone,zone_group,booking_mode,km_from_shop,primary_tech,secondary_techs,centroid_lat,centroid_lng,sample_n,notes,measured_n,measured_primary,measured_share,ownership,measured_techs,action
KYLE,South Corridor,open,27.8,KJB,—,30.0,-97.8951,2,Daily via KJB from Kyle.,27,,,thin,,too few visits to measure — keep the hand-set value
BUDA,South Corridor,open,,KJB,—,,,,Daily via KJB from Kyle.,96,KJB,0.93,owned,KJB,
SANMA,South Corridor,open,38.5,KJB,—,29.8652,-97.988,1,Daily via KJB from Kyle.,72,KJB,0.96,owned,KJB,
FISCH,Far South,designated_days,30.0,KJB,—,29.9995,-98.2624,1,Trip bucket; CEM/KJB/BLL from the NB/Kyle side.,19,,,thin,,too few visits to measure — keep the hand-set value
CANYO,Far South,designated_days,,CEM,BLL,,,,Trip bucket; CEM/KJB/BLL from the NB/Kyle side.,20,,,thin,,too few visits to measure — keep the hand-set value
BRAUN,Far South,designated_days,49.7,CEM,KJB,29.7867,-98.2406,5,Trip bucket; CEM/KJB/BLL from the NB/Kyle side.,33,,,thin,,too few visits to measure — keep the hand-set value
HORSE,Northwest Lakes,designated_days,47.3,TDP,—,30.5261,-98.385,6,Trip bucket; TDP.,60,TDP,0.95,owned,TDP,
MFALL,Northwest Lakes,designated_days,,TDP,—,,,,Trip bucket; TDP.,14,,,thin,,too few visits to measure — keep the hand-set value
LLANO,Northwest Lakes,designated_days,,TDP,—,,,,Trip bucket; TDP.,7,,,thin,,too few visits to measure — keep the hand-set value
ROUND,Northwest Lakes,designated_days,23.7,JHM,CEM TDP,30.3456,-98.2461,13,Trip bucket; TDP.,19,,,thin,,too few visits to measure — keep the hand-set value
JC,West,designated_days,34.7,JHM,DLA CEM,30.2854,-98.4094,33,"Trip bucket: proposed on volume/age, Demitrius confirms. JHM primary; CEM/DLA/TDP overflow.",141,JHM,0.62,owned,JHM MAP,
BLANC,West,designated_days,38.3,JHM,DLA,30.098,-98.4389,7,"Trip bucket: proposed on volume/age, Demitrius confirms. JHM primary; CEM/DLA/TDP overflow.",90,JHM,0.54,shared,JHM DLA MAP,no real primary — score on drive and capacity only
STONE,West,designated_days,54.4,JHM,—,30.1726,-98.6254,1,"Trip bucket: proposed on volume/age, Demitrius confirms. JHM primary; CEM/DLA/TDP overflow.",9,,,thin,,too few visits to measure — keep the hand-set value
FBURG,West,designated_days,78.7,JHM,TDP DLA,30.2839,-98.8742,61,"Trip bucket: proposed on volume/age, Demitrius confirms. JHM primary; CEM/DLA/TDP overflow.",215,JHM,0.69,owned,JHM MAP DLA,
BOERN,West,designated_days,60.8,JHM,CEM MAP,29.7729,-98.4468,24,"Trip bucket: proposed on volume/age, Demitrius confirms. JHM primary; CEM/DLA/TDP overflow.",48,JHM,0.77,owned,JHM MAP CEM,
KERR,Out of area,office_only,110.9,JHM,—,30.2263,-99.2141,5,Office decides; no self-scheduling.,5,,,thin,,too few visits to measure — keep the hand-set value
OUT,Out of area,office_only,114.2,JHM,CEM,30.2999,-99.2442,6,Office decides; no self-scheduling.,25,,,thin,,too few visits to measure — keep the hand-set value
SA,Out of area,office_only,80.8,JHM,—,29.6567,-98.6107,1,Office decides; no self-scheduling.,13,,,thin,,too few visits to measure — keep the hand-set value
CEDAR,North,office_only,,CIT,TDP,,,,Rare; office decides.,25,,,thin,,too few visits to measure — keep the hand-set value
GEORG,North,office_only,,JRC,—,,,,Rare; office decides.,17,,,thin,,too few visits to measure — keep the hand-set value
LAGO,Austin Metro,open,,CIT,—,,,,Daily.,3,,,thin,,too few visits to measure — keep the hand-set value
HPOOL,Austin Metro,open,,TDP,—,,,,Daily.,10,,,thin,,too few visits to measure — keep the hand-set value
MANCH,Austin Metro,open,,TDP,—,,,,Daily.,11,,,thin,,too few visits to measure — keep the hand-set value
BRIAR,Austin Metro,open,,TDP,—,,,,Daily.,5,,,thin,,too few visits to measure — keep the hand-set value
