task_id,family_code,family,task,base_hours,department,hourly_rate,price,labor_taxable_default,family_tax_rule,tags,epass_code_stems,source_rows,hours_vary_by_brand,review_flag
AC-047,AC,HVAC,Thermostat/Control Replacement,1.0,hvac,150,150.0,N,N,,AC151,1,no,
CE-001,CE,Cooking - Electric,Bake Element Replacement (Exposed),1.0,appliance,130,130.0,by_install_type,by_install_type,exposed,CE402,1,no,
CE-002,CE,Cooking - Electric,Bake Element Replacement - Hidden (Double Oven) - Typically Two Technicians,2.5,appliance,130,325.0,by_install_type,by_install_type,two-tech hidden double,CE400,1,no,
CE-003,CE,Cooking - Electric,Bake Element Replacement - Hidden (Single Oven),2.0,appliance,130,260.0,by_install_type,by_install_type,hidden single,CE401,1,no,
CE-004,CE,Cooking - Electric,Broil Element Replacement (Concealed),1.5,appliance,130,195.0,by_install_type,by_install_type,hidden,CE403,1,no,
CE-005,CE,Cooking - Electric,Broil Element Replacement (Exposed),1.0,appliance,130,130.0,by_install_type,by_install_type,exposed,CE404,1,no,
CE-006,CE,Cooking - Electric,Calibrate Oven Temperature Calibration,0.75,appliance,130,97.5,by_install_type,by_install_type,,CE405,1,no,
CE-007,CE,Cooking - Electric,Ceran Glass Cooktop Replacement,1.5,appliance,130,195.0,by_install_type,by_install_type,,CE406,1,no,
CE-008,CE,Cooking - Electric,Coil Element Burner Receptacle Replacement,0.5,appliance,130,65.0,by_install_type,by_install_type,,CE407,1,no,
CE-009,CE,Cooking - Electric,Convect Element Replacement (Front Service),1.0,appliance,130,130.0,by_install_type,by_install_type,front-service,CE410,1,no,
CE-010,CE,Cooking - Electric,Convect Element Replacement - Double Oven (Requires Oven Removal) - Two Technicians,2.5,appliance,130,325.0,by_install_type,by_install_type,two-tech unit-removal double,CE408,1,no,
CE-011,CE,Cooking - Electric,Convect Element Replacement - Single Oven (Requires Oven Removal),2.0,appliance,130,260.0,by_install_type,by_install_type,unit-removal single,CE409,1,no,
CE-012,CE,Cooking - Electric,Convection Fan Motor/Blade Replacement,1.5,appliance,130,195.0,by_install_type,by_install_type,,CE411,1,no,
CE-013,CE,Cooking - Electric,Cooling Fan Motor/Blade Replacement,1.5,appliance,130,195.0,by_install_type,by_install_type,,CE412,1,no,
CE-014,CE,Cooking - Electric,Door Component Replacement - Oven Glass-Liner-Handle-etc.,0.75,appliance,130,97.5,by_install_type,by_install_type,,CE413,1,yes,hours varied by brand in old book
CE-015,CE,Cooking - Electric,Door Hinge Assembly Replacement,1.0,appliance,130,130.0,by_install_type,by_install_type,,CE414,1,no,
CE-016,CE,Cooking - Electric,Door Hinge Receiver Replacement (Double Wall Oven) - Typically Two Technicians,2.0,appliance,130,260.0,by_install_type,by_install_type,two-tech double,CE415,1,no,
CE-017,CE,Cooking - Electric,Door Hinge Receiver Replacement (Pro Range),2.0,appliance,130,260.0,by_install_type,by_install_type,pro,CE416,1,no,pro/standard pair — consider one task + pro tag
CE-018,CE,Cooking - Electric,Door Hinge Receiver Replacement (Single Wall Oven),1.25,appliance,130,162.5,by_install_type,by_install_type,single,CE417,1,no,
CE-019,CE,Cooking - Electric,Door Hinge Receiver Replacement (Standard Freestanding Range),1.0,appliance,130,130.0,by_install_type,by_install_type,standard freestanding,CE418,1,no,pro/standard pair — consider one task + pro tag
CE-020,CE,Cooking - Electric,Door Lock/Latch Assembly Replacement,1.0,appliance,130,130.0,by_install_type,by_install_type,,CE419,1,no,
CE-021,CE,Cooking - Electric,Door/Window Cleaning Double Oven,1.0,appliance,130,130.0,by_install_type,by_install_type,double,CE420,1,no,
CE-022,CE,Cooking - Electric,Door/Window Cleaning Single Oven,0.75,appliance,130,97.5,by_install_type,by_install_type,single,CE421,1,no,
CE-023,CE,Cooking - Electric,Drip Bowl Replacement - Coil Element,0.2,appliance,130,26.0,by_install_type,by_install_type,,CE422,1,no,
CE-024,CE,Cooking - Electric,Griddle/Grill Component Replacement,0.5,appliance,130,65.0,by_install_type,by_install_type,,CE424,1,no,
CE-025,CE,Cooking - Electric,Grill/Griddle Thermostat Replacement,1.0,appliance,130,130.0,by_install_type,by_install_type,,CE425,1,no,
CE-026,CE,Cooking - Electric,Hi-Limit Thermal Cutout Replacement (Front Service),0.75,appliance,130,97.5,by_install_type,by_install_type,front-service,CE426,1,no,
CE-027,CE,Cooking - Electric,Hi-Limit Thermal Cutout Replacement (Rear Service),1.0,appliance,130,130.0,by_install_type,by_install_type,rear-service,CE427,1,yes,hours varied by brand in old book
CE-028,CE,Cooking - Electric,Leveling Legs/Wheel Replacement (Pro Range),1.0,appliance,130,130.0,by_install_type,by_install_type,pro,CE428,1,yes,hours varied by brand in old book; pro/standard pair — consider one task + pro tag
CE-029,CE,Cooking - Electric,Leveling Legs/Wheel Replacement (Standard Range),0.5,appliance,130,65.0,by_install_type,by_install_type,standard,CE429,1,yes,hours varied by brand in old book; pro/standard pair — consider one task + pro tag
CE-030,CE,Cooking - Electric,Oven Temp Sensor (Thermistor) Replacement,0.75,appliance,130,97.5,by_install_type,by_install_type,,CE432,1,yes,hours varied by brand in old book
CE-031,CE,Cooking - Electric,Oven Thermostat Replacement,2.0,appliance,130,260.0,by_install_type,by_install_type,,CE433,1,no,
CE-032,CE,Cooking - Electric,Probe Jack Replacement,1.0,appliance,130,130.0,by_install_type,by_install_type,,CE435,1,no,
CE-033,CE,Cooking - Electric,Rack Replacement - Oven,0.15,appliance,130,19.5,by_install_type,by_install_type,,CE436,1,no,
CE-034,CE,Cooking - Electric,Surface Element Replacement - Ceran Glass Top,1.5,appliance,130,195.0,by_install_type,by_install_type,,CE437,1,no,
CE-035,CE,Cooking - Electric,Surface Element Replacement - Coil Top,0.35,appliance,130,45.5,by_install_type,by_install_type,,CE438,1,no,
CE-036,CE,Cooking - Electric,Switch Replacement - Burner/Selector,1.0,appliance,130,130.0,by_install_type,by_install_type,,CE439,1,no,
CF-001,CF,Coffee,Brew Unit Replacement,0.25,appliance,130,32.5,N,N,,CF400,1,no,
CF-002,CF,Coffee,Cleaning & Maintenance,1.5,appliance,130,195.0,N,N,,CF401,1,no,
CF-003,CF,Coffee,Coffee Bean Storage Bin Replacement,0.25,appliance,130,32.5,N,N,,CF402,1,no,
CF-004,CF,Coffee,Component Sensing Device Replacement,1.0,appliance,130,130.0,N,N,,CF403,1,no,
CF-005,CF,Coffee,Connecting Tube(s)-Clamp(s) Replacement,0.75,appliance,130,97.5,N,N,,CF404,1,no,
CF-006,CF,Coffee,Descale Unit Only,0.75,appliance,130,97.5,N,N,,CF405,1,no,
CF-007,CF,Coffee,Drive Motor Replacement,1.5,appliance,130,195.0,N,N,,CF406,1,no,
CF-008,CF,Coffee,Flow Meter Replacement,1.0,appliance,130,130.0,N,N,,CF408,1,no,
CF-009,CF,Coffee,Grind Chamber Replacement,1.5,appliance,130,195.0,N,N,,CF409,1,no,
CF-010,CF,Coffee,Heater Assembly Replacement,1.5,appliance,130,195.0,N,N,,CF410,1,no,
CF-011,CF,Coffee,Interference Limiter Replacement,1.0,appliance,130,130.0,N,N,,CF411,1,no,
CF-012,CF,Coffee,Microswitch Replacement,1.0,appliance,130,130.0,N,N,,CF413,1,no,
CF-013,CF,Coffee,Pressure Relief Valve Replacement,1.25,appliance,130,162.5,N,N,,CF415,1,no,
CF-014,CF,Coffee,Refuse Bin Replacement,0.25,appliance,130,32.5,N,N,,CF416,1,no,
CF-015,CF,Coffee,Solenoid Replacement,1.0,appliance,130,130.0,N,N,,CF417,1,no,
CF-016,CF,Coffee,Steam Generator Replacement,1.25,appliance,130,162.5,N,N,,CF418,1,no,
CF-017,CF,Coffee,Temp Sensor Replacement,1.0,appliance,130,130.0,N,N,,CF419,1,no,
CF-018,CF,Coffee,Thermal Limiter Replacement,1.0,appliance,130,130.0,N,N,,CF420,1,no,
CF-019,CF,Coffee,Water Pump Replacement,1.25,appliance,130,162.5,N,N,,CF421,1,no,
CF-020,CF,Coffee,Water Reservoir Replacement,0.25,appliance,130,32.5,N,N,,CF422,1,no,
CF-021,CF,Coffee,Water Valve Replacement,1.0,appliance,130,130.0,N,N,,CF423,1,no,
CG-001,CG,Cooking - Gas,Bake Burner Assembly Replacement (Pro Oven/Range),1.0,appliance,130,130.0,by_install_type,by_install_type,pro,CG400,1,yes,hours varied by brand in old book; pro/standard pair — consider one task + pro tag
CG-002,CG,Cooking - Gas,Bake Burner Assembly Replacement (Standard Oven/Range),0.75,appliance,130,97.5,by_install_type,by_install_type,standard,CG401,1,yes,hours varied by brand in old book; pro/standard pair — consider one task + pro tag
CG-003,CG,Cooking - Gas,Broil Burner Assembly Replacement (Pro Oven/Range),1.0,appliance,130,130.0,by_install_type,by_install_type,pro,CG402,1,yes,hours varied by brand in old book; pro/standard pair — consider one task + pro tag
CG-004,CG,Cooking - Gas,Broil Burner Assembly Replacement (Standard Oven/Range),0.75,appliance,130,97.5,by_install_type,by_install_type,standard,CG403,1,yes,hours varied by brand in old book; pro/standard pair — consider one task + pro tag
CG-005,CG,Cooking - Gas,Burner Grate(s)/Cap(s) Replacement,0.15,appliance,130,19.5,by_install_type,by_install_type,,CG404,1,yes,hours varied by brand in old book
CG-006,CG,Cooking - Gas,Burner Ignition Component Replacement,0.75,appliance,130,97.5,by_install_type,by_install_type,,CG405,1,no,
CG-007,CG,Cooking - Gas,Burner Valve Replacement - Surface Burner,1.5,appliance,130,195.0,by_install_type,by_install_type,,CG406,1,no,
CG-008,CG,Cooking - Gas,Convection Fan Motor/Blade Replacement (Pro Oven/Range),1.5,appliance,130,195.0,by_install_type,by_install_type,pro,CG407,1,yes,hours varied by brand in old book; pro/standard pair — consider one task + pro tag
CG-009,CG,Cooking - Gas,Convection Fan Motor/Blade Replacement (Standard Oven/Range),1.0,appliance,130,130.0,by_install_type,by_install_type,standard,CG408,1,yes,hours varied by brand in old book; pro/standard pair — consider one task + pro tag
CG-010,CG,Cooking - Gas,Cooktop Burner Assembly Replacement,0.75,appliance,130,97.5,by_install_type,by_install_type,,CG409,1,yes,hours varied by brand in old book
CG-011,CG,Cooking - Gas,Cooling Fan Motor/Blade Replacement (Pro Oven/Range),1.5,appliance,130,195.0,by_install_type,by_install_type,pro,CG410,1,yes,hours varied by brand in old book; pro/standard pair — consider one task + pro tag
CG-012,CG,Cooking - Gas,Cooling Fan Motor/Blade Replacement (Standard Oven/Range),0.75,appliance,130,97.5,by_install_type,by_install_type,standard,CG411,1,yes,hours varied by brand in old book; pro/standard pair — consider one task + pro tag
CG-013,CG,Cooking - Gas,Door Component Replacement - Oven Glass-Liner-Handle-etc.,0.75,appliance,130,97.5,by_install_type,by_install_type,,CG412,1,yes,hours varied by brand in old book
CG-014,CG,Cooking - Gas,Door Hinge Assembly Replacement,1.0,appliance,130,130.0,by_install_type,by_install_type,,CG413,1,no,
CG-015,CG,Cooking - Gas,Door Hinge Receiver Replacement (Double Wall Oven),1.75,appliance,130,227.5,by_install_type,by_install_type,double,CG414,1,yes,hours varied by brand in old book
CG-016,CG,Cooking - Gas,Door Hinge Receiver Replacement (Pro Range),1.75,appliance,130,227.5,by_install_type,by_install_type,pro,CG415,1,yes,hours varied by brand in old book; pro/standard pair — consider one task + pro tag
CG-017,CG,Cooking - Gas,Door Hinge Receiver Replacement (Single Wall Oven),1.0,appliance,130,130.0,by_install_type,by_install_type,single,CG416,1,yes,hours varied by brand in old book
CG-018,CG,Cooking - Gas,Door Hinge Receiver Replacement (Standard Range),1.0,appliance,130,130.0,by_install_type,by_install_type,standard,CG417,1,yes,hours varied by brand in old book; pro/standard pair — consider one task + pro tag
CG-019,CG,Cooking - Gas,Door Lock/Latch Assembly Replacement,1.0,appliance,130,130.0,by_install_type,by_install_type,,CG418,1,no,
CG-020,CG,Cooking - Gas,Door/Window Cleaning (Double Oven),1.0,appliance,130,130.0,by_install_type,by_install_type,double,CG419,1,no,
CG-021,CG,Cooking - Gas,Door/Window Cleaning (Single Oven),0.75,appliance,130,97.5,by_install_type,by_install_type,single,CG420,1,no,
CG-022,CG,Cooking - Gas,Gas Supply Flex Line Replacement,0.5,appliance,130,65.0,by_install_type,by_install_type,,CG422,1,yes,hours varied by brand in old book
CG-023,CG,Cooking - Gas,Griddle/Grill Component Replacement,0.5,appliance,130,65.0,by_install_type,by_install_type,,CG423,1,no,
CG-024,CG,Cooking - Gas,Griddle/Grill Thermostat Replacement,1.25,appliance,130,162.5,by_install_type,by_install_type,,CG424,1,yes,hours varied by brand in old book
CG-025,CG,Cooking - Gas,Hi-Limit Thermal Cutout Replacement - Front Service,0.75,appliance,130,97.5,by_install_type,by_install_type,front-service,CG425,1,no,
CG-026,CG,Cooking - Gas,Hi-Limit Thermal Cutout Replacement - Rear Service,1.0,appliance,130,130.0,by_install_type,by_install_type,rear-service,CG426,1,yes,hours varied by brand in old book
CG-027,CG,Cooking - Gas,Leveling Legs/Wheel Replacement - Pro Range,1.0,appliance,130,130.0,by_install_type,by_install_type,pro,CG427,1,yes,hours varied by brand in old book; pro/standard pair — consider one task + pro tag
CG-028,CG,Cooking - Gas,Leveling Legs/Wheel Replacement - Standard Range,0.5,appliance,130,65.0,by_install_type,by_install_type,standard,CG428,1,yes,hours varied by brand in old book; pro/standard pair — consider one task + pro tag
CG-029,CG,Cooking - Gas,Locate and Repair Gas Leak Locate and Repair (Difficult Access),1.0,appliance,130,130.0,by_install_type,by_install_type,,CG431,1,yes,hours varied by brand in old book
CG-030,CG,Cooking - Gas,Locate and Repair Gas Leak Locate and Repair (Readily Accessible),0.5,appliance,130,65.0,by_install_type,by_install_type,,CG432,1,yes,hours varied by brand in old book
CG-031,CG,Cooking - Gas,Orifice(s) Replacement (Cooktop),0.5,appliance,130,65.0,by_install_type,by_install_type,,CG433,1,yes,hours varied by brand in old book
CG-032,CG,Cooking - Gas,Orifice(s) Replacement (Oven),0.75,appliance,130,97.5,by_install_type,by_install_type,,CG434,1,yes,hours varied by brand in old book
CG-033,CG,Cooking - Gas,Oven Igniter (HSI) Replacement,0.75,appliance,130,97.5,by_install_type,by_install_type,,CG435,1,yes,hours varied by brand in old book
CG-034,CG,Cooking - Gas,Oven Temp Sensor (Thermistor) Replacement,0.75,appliance,130,97.5,by_install_type,by_install_type,,CG436,1,no,
CG-035,CG,Cooking - Gas,Oven Temperature Calibration,0.75,appliance,130,97.5,by_install_type,by_install_type,,CG437,1,no,
CG-036,CG,Cooking - Gas,Oven Thermostat Replacement,2.0,appliance,130,260.0,by_install_type,by_install_type,,CG438,1,no,
CG-037,CG,Cooking - Gas,Probe Jack Replacement,0.75,appliance,130,97.5,by_install_type,by_install_type,,CG440,1,no,
CG-038,CG,Cooking - Gas,Rack Replacement - Oven,0.15,appliance,130,19.5,by_install_type,by_install_type,,CG441,1,no,
CG-039,CG,Cooking - Gas,Regulator Replacement (Standard Access),0.75,appliance,130,97.5,by_install_type,by_install_type,standard,CG442,1,yes,hours varied by brand in old book; pro/standard pair — consider one task + pro tag
CG-040,CG,Cooking - Gas,Regulator Replacement Pro Range (Difficult Access),1.5,appliance,130,195.0,by_install_type,by_install_type,pro,CG443,1,yes,hours varied by brand in old book; pro/standard pair — consider one task + pro tag
CG-041,CG,Cooking - Gas,Safety Valve Replacement,1.0,appliance,130,130.0,by_install_type,by_install_type,,CG444,1,no,
CG-042,CG,Cooking - Gas,Simmer Setting Adjustment - Gas Burner,0.3,appliance,130,39.0,by_install_type,by_install_type,,CG445,1,no,
CG-043,CG,Cooking - Gas,Solenoid Replacement,0.75,appliance,130,97.5,by_install_type,by_install_type,,CG446,1,no,
CG-044,CG,Cooking - Gas,Switch Assembly Replacement,0.75,appliance,130,97.5,by_install_type,by_install_type,,CG447,1,no,
CG-045,CG,Cooking - Gas,Thermocouple Replacement,0.75,appliance,130,97.5,by_install_type,by_install_type,,CG449,1,no,
CO-001,CO,Cooktop,Bin Replacement,0.25,appliance,130,32.5,N,N,,CO400,1,no,
CO-002,CO,Cooktop,Bin Roller Replacement,0.75,appliance,130,97.5,N,N,,CO401,1,no,
CO-003,CO,Cooktop,Clear Debris from Drawer Mechanism,0.35,appliance,130,45.5,N,N,,CO402,1,no,
CO-004,CO,Cooktop,Drive Chain Replacement,0.75,appliance,130,97.5,N,N,,CO403,1,no,
CO-005,CO,Cooktop,Drive Motor Replacement,1.0,appliance,130,130.0,N,N,,CO404,1,no,
CO-006,CO,Cooktop,Fan Motor/Blade Replacement,0.75,appliance,130,97.5,N,N,,CO406,1,no,
CO-007,CO,Cooktop,Foot Pedal/Actuator Replacement,0.75,appliance,130,97.5,N,N,,CO407,1,no,
CO-008,CO,Cooktop,Gear(s) Replacement,0.75,appliance,130,97.5,N,N,,CO408,1,no,
CO-009,CO,Cooktop,Lubricate Power Nuts/Screws,0.5,appliance,130,65.0,N,N,,CO409,1,no,
CO-010,CO,Cooktop,Microswitch Replacement,0.75,appliance,130,97.5,N,N,,CO410,1,no,
CO-011,CO,Cooktop,Power Nut(s) Replacement,1.0,appliance,130,130.0,N,N,,CO412,1,no,
CO-012,CO,Cooktop,Power Screw Assembly Replacement,1.0,appliance,130,130.0,N,N,,CO413,1,no,
CO-013,CO,Cooktop,Ram Assembly Components Replacement,1.0,appliance,130,130.0,N,N,,CO414,1,no,
CO-014,CO,Cooktop,Reinstallation of Unit,0.5,appliance,130,65.0,N,N,,CO415,1,no,
CO-015,CO,Cooktop,Start Switch Replacement,0.75,appliance,130,97.5,N,N,,CO416,1,no,
DI-001,DI,(unknown DI),Clear Debris From Disposal Mechanism,0.25,appliance,130,32.5,N,N,,DI400,1,no,family code unidentified
DI-002,DI,(unknown DI),Remove Knock-Out for DW Connection,0.25,appliance,130,32.5,N,N,,DI402,1,no,family code unidentified
DI-003,DI,(unknown DI),Replace Disposal (Exact Match Replacement Only) - NO PLUMBING,2.0,appliance,130,260.0,N,N,,DI403,1,no,family code unidentified
DI-004,DI,(unknown DI),Reset Motor Overload,0.25,appliance,130,32.5,N,N,,DI404,1,no,family code unidentified
DISL-001,DISL,Discount Labor,Discounted Courtesy Labor,0.25,appliance,130,32.5,N,N,,DISL1,1,no,
DR-001,DR,Dryer,Belt Replacement,0.75,appliance,130,97.5,Y,Y,,DR401,1,yes,hours varied by brand in old book
DR-002,DR,Dryer,Blower Wheel Replacement,1.0,appliance,130,130.0,Y,Y,,DR402,1,yes,hours varied by brand in old book
DR-003,DR,Dryer,Burner Tube Assembly,0.75,appliance,130,97.5,Y,Y,,DR403,1,no,
DR-004,DR,Dryer,Clear Lint/Debris From Venting,0.5,appliance,130,65.0,Y,Y,,DR404,1,no,
DR-005,DR,Dryer,Door Switch Replacement,0.75,appliance,130,97.5,Y,Y,,DR405,1,no,
DR-006,DR,Dryer,Drum Replacement,1.25,appliance,130,162.5,Y,Y,,DR406,1,no,
DR-007,DR,Dryer,Gas Valve Assembly Replacement,1.0,appliance,130,130.0,Y,Y,,DR408,1,no,
DR-008,DR,Dryer,Heating Element Replacement,0.75,appliance,130,97.5,Y,Y,,DR409,1,no,
DR-009,DR,Dryer,Hi-Limit/Thermal Fuse Replacement,0.5,appliance,130,65.0,Y,Y,,DR410,1,no,
DR-010,DR,Dryer,Igniter (HSI) Replacement,0.5,appliance,130,65.0,Y,Y,,DR411,1,no,
DR-011,DR,Dryer,LP or Nat Gas Conversion,0.75,appliance,130,97.5,Y,Y,,DR415,1,no,
DR-012,DR,Dryer,LP or Natural Gas Conversion,0.75,appliance,130,97.5,Y,Y,,DR415,1,no,
DR-013,DR,Dryer,Motor Replacement - Drum/Drive,1.25,appliance,130,162.5,Y,Y,,DR416,1,yes,hours varied by brand in old book
DR-014,DR,Dryer,Thermostat Replacement,0.5,appliance,130,65.0,Y,Y,,DR419,1,yes,hours varied by brand in old book
DR-015,DR,Dryer,Tub Roller/Idler Pulley/Belt Kit Replacement,1.0,appliance,130,130.0,Y,Y,,DR420,1,yes,hours varied by brand in old book
DR-016,DR,Dryer,Vent Hose & Clamp(s) Replacement,0.5,appliance,130,65.0,Y,Y,,DR421,1,no,
DW-001,DW,Dishwasher,Address Washability Concerns,0.25,appliance,130,32.5,N,N,,DW400,1,no,
DW-002,DW,Dishwasher,Address Water Leak (Tub-Door-Etc.),0.75,appliance,130,97.5,N,N,,DW401,1,no,
DW-003,DW,Dishwasher,Debris Removal & Cleaning From Drain/Sink Connection,0.5,appliance,130,65.0,N,N,,DW402,1,no,
DW-004,DW,Dishwasher,Debris Removal from Sump/Impeller/Drain,0.5,appliance,130,65.0,N,N,,DW403,1,no,
DW-005,DW,Dishwasher,Detergent Cup Assembly Replacement,0.75,appliance,130,97.5,N,N,,DW404,1,no,
DW-006,DW,Dishwasher,Door Panel/Console Replacement (Outer),0.5,appliance,130,65.0,N,N,,DW405,1,no,
